id,order_id,product_id,quantity,unit_price,currency
308,305,63,7,60.09,USD
309,306,107,3,115.27,ABC
310,307,35,1,423.7,EUR
311,308,92,1,156.95,USD
312,309,108,3,118.63,QWE
313,310,49,2,149.25,USD
314,311,102,2,178.35,XYZ
315,312,71,4,69.64,EUR
316,313,23,1,298.9,USD
317,314,104,3,55.9,ABC
318,315,86,8,20.94,USD
319,316,110,3,149.25,QWE
320,317,40,2,211.88,EUR
321,318,95,1,167.8,USD
322,319,106,2,172.78,XYZ
323,320,53,1,445.85,USD
324,321,103,2,78.35,ABC
325,322,28,1,356.5,EUR
326,323,81,8,34.69,USD
327,324,105,2,83.88,QWE
328,325,46,2,117.43,USD
329,326,101,2,139.48,XYZ
330,327,70,3,156.25,EUR
331,328,107,3,115.3,ABC
332,329,33,1,234.75,USD
333,330,89,5,59.78,USD
334,331,102,2,178.4,QWE
335,332,57,2,222.78,EUR
336,333,108,3,118.65,XYZ
337,334,22,1,423.85,USD
338,335,104,3,55.88,ABC
339,336,75,6,46.82,USD
340,337,41,3,93.52,QWE
341,338,106,2,172.73,EUR
342,339,14,2,94.75,USD
343,340,109,3,62.92,XYZ
344,341,60,2,172.95,USD
345,342,101,2,78.33,ABC
346,343,37,2,178.48,EUR
347,344,103,2,149.28,QWE
348,345,84,9,49.94,USD
349,346,105,2,83.93,XYZ
350,347,50,2,211.8,EUR
351,348,107,3,115.25,ABC
352,349,19,1,345.55,USD
353,350,102,2,178.33,QWE
354,351,78,4,111.21,EUR
355,352,104,3,55.85,XYZ
356,353,31,1,298.4,USD
357,354,108,3,118.6,ABC
358,355,65,9,18.61,USD
359,356,106,2,172.75,QWE
360,357,42,2,167.45,EUR
361,358,101,2,78.3,XYZ
362,359,87,8,27.44,USD
363,360,109,3,62.9,ABC
